"","V1"
"hv126_03","na - educational level during previous school year"
"hv126_04","na - educational level during previous school year"
"hv126_05","na - educational level during previous school year"
"hv126_06","na - educational level during previous school year"
"hv126_07","na - educational level during previous school year"
"hv126_08","na - educational level during previous school year"
"hv126_09","na - educational level during previous school year"
"hv126_10","na - educational level during previous school year"
"hv126_11","na - educational level during previous school year"
"hv126_12","na - educational level during previous school year"
"hv126_13","na - educational level during previous school year"
"hv126_14","na - educational level during previous school year"
"hv126_15","na - educational level during previous school year"
"hv126_16","na - educational level during previous school year"
"hv126_17","na - educational level during previous school year"
"hv126_18","na - educational level during previous school year"
"hv126_19","na - educational level during previous school year"
"hv126_20","na - educational level during previous school year"
"hv126_21","na - educational level during previous school year"
"hv126_22","na - educational level during previous school year"
"hv126_23","na - educational level during previous school year"
"hv126_24","na - educational level during previous school year"
"hv126_25","na - educational level during previous school year"
"hv126_26","na - educational level during previous school year"
"hv127_01","na - grade of education during previous school year"
"hv127_02","na - grade of education during previous school year"
"hv127_03","na - grade of education during previous school year"
"hv127_04","na - grade of education during previous school year"
"hv127_05","na - grade of education during previous school year"
"hv127_06","na - grade of education during previous school year"
"hv127_07","na - grade of education during previous school year"
"hv127_08","na - grade of education during previous school year"
"hv127_09","na - grade of education during previous school year"
"hv127_10","na - grade of education during previous school year"
"hv127_11","na - grade of education during previous school year"
"hv127_12","na - grade of education during previous school year"
"hv127_13","na - grade of education during previous school year"
"hv127_14","na - grade of education during previous school year"
"hv127_15","na - grade of education during previous school year"
"hv127_16","na - grade of education during previous school year"
"hv127_17","na - grade of education during previous school year"
"hv127_18","na - grade of education during previous school year"
"hv127_19","na - grade of education during previous school year"
"hv127_20","na - grade of education during previous school year"
"hv127_21","na - grade of education during previous school year"
"hv127_22","na - grade of education during previous school year"
"hv127_23","na - grade of education during previous school year"
"hv127_24","na - grade of education during previous school year"
"hv127_25","na - grade of education during previous school year"
"hv127_26","na - grade of education during previous school year"
"hv128_01","na - education in single years - previous school year"
"hv128_02","na - education in single years - previous school year"
"hv128_03","na - education in single years - previous school year"
"hv128_04","na - education in single years - previous school year"
"hv128_05","na - education in single years - previous school year"
"hv128_06","na - education in single years - previous school year"
"hv128_07","na - education in single years - previous school year"
"hv128_08","na - education in single years - previous school year"
"hv128_09","na - education in single years - previous school year"
"hv128_10","na - education in single years - previous school year"
"hv128_11","na - education in single years - previous school year"
"hv128_12","na - education in single years - previous school year"
"hv128_13","na - education in single years - previous school year"
"hv128_14","na - education in single years - previous school year"
"hv128_15","na - education in single years - previous school year"
"hv128_16","na - education in single years - previous school year"
"hv128_17","na - education in single years - previous school year"
"hv128_18","na - education in single years - previous school year"
"hv128_19","na - education in single years - previous school year"
"hv128_20","na - education in single years - previous school year"
"hv128_21","na - education in single years - previous school year"
"hv128_22","na - education in single years - previous school year"
"hv128_23","na - education in single years - previous school year"
"hv128_24","na - education in single years - previous school year"
"hv128_25","na - education in single years - previous school year"
"hv128_26","na - education in single years - previous school year"
"hv129_01","na - school attendance status"
"hv129_02","na - school attendance status"
"hv129_03","na - school attendance status"
"hv129_04","na - school attendance status"
"hv129_05","na - school attendance status"
"hv129_06","na - school attendance status"
"hv129_07","na - school attendance status"
"hv129_08","na - school attendance status"
"hv129_09","na - school attendance status"
"hv129_10","na - school attendance status"
"hv129_11","na - school attendance status"
"hv129_12","na - school attendance status"
"hv129_13","na - school attendance status"
"hv129_14","na - school attendance status"
"hv129_15","na - school attendance status"
"hv129_16","na - school attendance status"
"hv129_17","na - school attendance status"
"hv129_18","na - school attendance status"
"hv129_19","na - school attendance status"
"hv129_20","na - school attendance status"
"hv129_21","na - school attendance status"
"hv129_22","na - school attendance status"
"hv129_23","na - school attendance status"
"hv129_24","na - school attendance status"
"hv129_25","na - school attendance status"
"hv129_26","na - school attendance status"
"hv140_01","member has a birth certificate"
"hv140_02","member has a birth certificate"
"hv140_03","member has a birth certificate"
"hv140_04","member has a birth certificate"
"hv140_05","member has a birth certificate"
"hv140_06","member has a birth certificate"
"hv140_07","member has a birth certificate"
"hv140_08","member has a birth certificate"
"hv140_09","member has a birth certificate"
"hv140_10","member has a birth certificate"
"hv140_11","member has a birth certificate"
"hv140_12","member has a birth certificate"
"hv140_13","member has a birth certificate"
"hv140_14","member has a birth certificate"
"hv140_15","member has a birth certificate"
"hv140_16","member has a birth certificate"
"hv140_17","member has a birth certificate"
"hv140_18","member has a birth certificate"
"hv140_19","member has a birth certificate"
"hv140_20","member has a birth certificate"
"hv140_21","member has a birth certificate"
"hv140_22","member has a birth certificate"
"hv140_23","member has a birth certificate"
"hv140_24","member has a birth certificate"
"hv140_25","member has a birth certificate"
"hv140_26","member has a birth certificate"
"idxh4_01","index to household schedule"
"idxh4_02","index to household schedule"
"idxh4_03","index to household schedule"
"idxh4_04","index to household schedule"
"idxh4_05","index to household schedule"
"idxh4_06","index to household schedule"
"idxh4_07","index to household schedule"
"idxh4_08","index to household schedule"
"idxh4_09","index to household schedule"
"idxh4_10","index to household schedule"
"idxh4_11","index to household schedule"
"idxh4_12","index to household schedule"
"idxh4_13","index to household schedule"
"idxh4_14","index to household schedule"
"idxh4_15","index to household schedule"
"idxh4_16","index to household schedule"
"idxh4_17","index to household schedule"
"idxh4_18","index to household schedule"
"idxh4_19","index to household schedule"
"idxh4_20","index to household schedule"
"idxh4_21","index to household schedule"
"idxh4_22","index to household schedule"
"idxh4_23","index to household schedule"
"idxh4_24","index to household schedule"
"idxh4_25","index to household schedule"
"idxh4_26","index to household schedule"
"sh17b1_01","highest educational level attained - cs"
"sh17b1_02","highest educational level attained - cs"
"sh17b1_03","highest educational level attained - cs"
"sh17b1_04","highest educational level attained - cs"
"sh17b1_05","highest educational level attained - cs"
"sh17b1_06","highest educational level attained - cs"
"sh17b1_07","highest educational level attained - cs"
"sh17b1_08","highest educational level attained - cs"
"sh17b1_09","highest educational level attained - cs"
"sh17b1_10","highest educational level attained - cs"
"sh17b1_11","highest educational level attained - cs"
"sh17b1_12","highest educational level attained - cs"
"sh17b1_13","highest educational level attained - cs"
"sh17b1_14","highest educational level attained - cs"
"sh17b1_15","highest educational level attained - cs"
"sh17b1_16","highest educational level attained - cs"
"sh17b1_17","highest educational level attained - cs"
"sh17b1_18","highest educational level attained - cs"
"sh17b1_19","highest educational level attained - cs"
"sh17b1_20","highest educational level attained - cs"
"sh17b1_21","highest educational level attained - cs"
"sh17b1_22","highest educational level attained - cs"
"sh17b1_23","highest educational level attained - cs"
"sh17b1_24","highest educational level attained - cs"
"sh17b1_25","highest educational level attained - cs"
"sh17b1_26","highest educational level attained - cs"
"sh10a_01","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_02","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_03","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_04","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_05","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_06","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_07","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_08","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_09","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_10","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_11","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_12","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_13","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_14","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_15","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_16","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_17","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_18","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_19","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_20","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_21","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_22","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_23","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_24","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_25","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh10a_26","eligibility for all 15 and above women and men in hh not selected for man's surv"
"sh16a_01","ever participated in literacy or any other program - cs"
"sh16a_02","ever participated in literacy or any other program - cs"
"sh16a_03","ever participated in literacy or any other program - cs"
"sh16a_04","ever participated in literacy or any other program - cs"
"sh16a_05","ever participated in literacy or any other program - cs"
"sh16a_06","ever participated in literacy or any other program - cs"
"sh16a_07","ever participated in literacy or any other program - cs"
"sh16a_08","ever participated in literacy or any other program - cs"
"sh16a_09","ever participated in literacy or any other program - cs"
"sh16a_10","ever participated in literacy or any other program - cs"
"sh16a_11","ever participated in literacy or any other program - cs"
"sh16a_12","ever participated in literacy or any other program - cs"
"sh16a_13","ever participated in literacy or any other program - cs"
"sh16a_14","ever participated in literacy or any other program - cs"
"sh16a_15","ever participated in literacy or any other program - cs"
"sh16a_16","ever participated in literacy or any other program - cs"
"sh16a_17","ever participated in literacy or any other program - cs"
"sh16a_18","ever participated in literacy or any other program - cs"
"sh16a_19","ever participated in literacy or any other program - cs"
"sh16a_20","ever participated in literacy or any other program - cs"
"sh16a_21","ever participated in literacy or any other program - cs"
"sh16a_22","ever participated in literacy or any other program - cs"
"sh16a_23","ever participated in literacy or any other program - cs"
"sh16a_24","ever participated in literacy or any other program - cs"
"sh16a_25","ever participated in literacy or any other program - cs"
"sh16a_26","ever participated in literacy or any other program - cs"
"sh16_01","ever attended school - cs"
"sh16_02","ever attended school - cs"
"sh16_03","ever attended school - cs"
"sh16_04","ever attended school - cs"
"sh16_05","ever attended school - cs"
"sh16_06","ever attended school - cs"
"sh16_07","ever attended school - cs"
"sh16_08","ever attended school - cs"
"sh16_09","ever attended school - cs"
"sh16_10","ever attended school - cs"
"sh16_11","ever attended school - cs"
"sh16_12","ever attended school - cs"
"sh16_13","ever attended school - cs"
"sh16_14","ever attended school - cs"
"sh16_15","ever attended school - cs"
"sh16_16","ever attended school - cs"
"sh16_17","ever attended school - cs"
"sh16_18","ever attended school - cs"
"sh16_19","ever attended school - cs"
"sh16_20","ever attended school - cs"
"sh16_21","ever attended school - cs"
"sh16_22","ever attended school - cs"
"sh16_23","ever attended school - cs"
"sh16_24","ever attended school - cs"
"sh16_25","ever attended school - cs"
"sh16_26","ever attended school - cs"
"sh17b_01","highest grade completed - cs"
"sh17b_02","highest grade completed - cs"
"sh17b_03","highest grade completed - cs"
"sh17b_04","highest grade completed - cs"
"sh17b_05","highest grade completed - cs"
"sh17b_06","highest grade completed - cs"
"sh17b_07","highest grade completed - cs"
"sh17b_08","highest grade completed - cs"
"sh17b_09","highest grade completed - cs"
"sh17b_10","highest grade completed - cs"
"sh17b_11","highest grade completed - cs"
"sh17b_12","highest grade completed - cs"
"sh17b_13","highest grade completed - cs"
"sh17b_14","highest grade completed - cs"
"sh17b_15","highest grade completed - cs"
"sh17b_16","highest grade completed - cs"
"sh17b_17","highest grade completed - cs"
"sh17b_18","highest grade completed - cs"
"sh17b_19","highest grade completed - cs"
"sh17b_20","highest grade completed - cs"
"sh17b_21","highest grade completed - cs"
"sh17b_22","highest grade completed - cs"
"sh17b_23","highest grade completed - cs"
"sh17b_24","highest grade completed - cs"
"sh17b_25","highest grade completed - cs"
"sh17b_26","highest grade completed - cs"
"sh18_01","attend school current year - cs"
"sh18_02","attend school current year - cs"
"sh18_03","attend school current year - cs"
"sh18_04","attend school current year - cs"
"sh18_05","attend school current year - cs"
"sh18_06","attend school current year - cs"
"sh18_07","attend school current year - cs"
"sh18_08","attend school current year - cs"
"sh18_09","attend school current year - cs"
"sh18_10","attend school current year - cs"
"sh18_11","attend school current year - cs"
"sh18_12","attend school current year - cs"
"sh18_13","attend school current year - cs"
"sh18_14","attend school current year - cs"
"sh18_15","attend school current year - cs"
"sh18_16","attend school current year - cs"
"sh18_17","attend school current year - cs"
"sh18_18","attend school current year - cs"
"sh18_19","attend school current year - cs"
"sh18_20","attend school current year - cs"
"sh18_21","attend school current year - cs"
"sh18_22","attend school current year - cs"
"sh18_23","attend school current year - cs"
"sh18_24","attend school current year - cs"
"sh18_25","attend school current year - cs"
"sh18_26","attend school current year - cs"
"sh19b_01","grade attending - cs"
"sh19b_02","grade attending - cs"
"sh19b_03","grade attending - cs"
"sh19b_04","grade attending - cs"
"sh19b_05","grade attending - cs"
"sh19b_06","grade attending - cs"
"sh19b_07","grade attending - cs"
"sh19b_08","grade attending - cs"
"sh19b_09","grade attending - cs"
"sh19b_10","grade attending - cs"
"sh19b_11","grade attending - cs"
"sh19b_12","grade attending - cs"
"sh19b_13","grade attending - cs"
"sh19b_14","grade attending - cs"
"sh19b_15","grade attending - cs"
"sh19b_16","grade attending - cs"
"sh19b_17","grade attending - cs"
"sh19b_18","grade attending - cs"
"sh19b_19","grade attending - cs"
"sh19b_20","grade attending - cs"
"sh19b_21","grade attending - cs"
"sh19b_22","grade attending - cs"
"sh19b_23","grade attending - cs"
"sh19b_24","grade attending - cs"
"sh19b_25","grade attending - cs"
"sh19b_26","grade attending - cs"
"sh19b1_01","highest educational level during current school year (4-24) - cs"
"sh19b1_02","highest educational level during current school year (4-24) - cs"
"sh19b1_03","highest educational level during current school year (4-24) - cs"
"sh19b1_04","highest educational level during current school year (4-24) - cs"
"sh19b1_05","highest educational level during current school year (4-24) - cs"
"sh19b1_06","highest educational level during current school year (4-24) - cs"
"sh19b1_07","highest educational level during current school year (4-24) - cs"
"sh19b1_08","highest educational level during current school year (4-24) - cs"
"sh19b1_09","highest educational level during current school year (4-24) - cs"
"sh19b1_10","highest educational level during current school year (4-24) - cs"
"sh19b1_11","highest educational level during current school year (4-24) - cs"
"sh19b1_12","highest educational level during current school year (4-24) - cs"
"sh19b1_13","highest educational level during current school year (4-24) - cs"
"sh19b1_14","highest educational level during current school year (4-24) - cs"
"sh19b1_15","highest educational level during current school year (4-24) - cs"
"sh19b1_16","highest educational level during current school year (4-24) - cs"
"sh19b1_17","highest educational level during current school year (4-24) - cs"
"sh19b1_18","highest educational level during current school year (4-24) - cs"
"sh19b1_19","highest educational level during current school year (4-24) - cs"
"sh19b1_20","highest educational level during current school year (4-24) - cs"
"sh19b1_21","highest educational level during current school year (4-24) - cs"
"sh19b1_22","highest educational level during current school year (4-24) - cs"
"sh19b1_23","highest educational level during current school year (4-24) - cs"
"sh19b1_24","highest educational level during current school year (4-24) - cs"
"sh19b1_25","highest educational level during current school year (4-24) - cs"
"sh19b1_26","highest educational level during current school year (4-24) - cs"
"ha0_1","index to household schedule"
"ha0_2","index to household schedule"
"ha0_3","index to household schedule"
"ha0_4","index to household schedule"
"ha0_5","index to household schedule"
"ha0_6","index to household schedule"
"ha0_7","index to household schedule"
"ha0_8","index to household schedule"
"ha0_9","index to household schedule"
"ha1_1","woman's age in years"
"ha1_2","woman's age in years"
"ha1_3","woman's age in years"
"ha1_4","woman's age in years"
"ha1_5","woman's age in years"
"ha1_6","woman's age in years"
"ha1_7","woman's age in years"
"ha1_8","woman's age in years"
"ha1_9","woman's age in years"
"ha2_1","woman's weight in kilograms (1 decimal)"
"ha2_2","woman's weight in kilograms (1 decimal)"
"ha2_3","woman's weight in kilograms (1 decimal)"
"ha2_4","woman's weight in kilograms (1 decimal)"
"ha2_5","woman's weight in kilograms (1 decimal)"
"ha2_6","woman's weight in kilograms (1 decimal)"
"ha2_7","woman's weight in kilograms (1 decimal)"
"ha2_8","woman's weight in kilograms (1 decimal)"
"ha2_9","woman's weight in kilograms (1 decimal)"
"ha3_1","woman's height in centimeters (1 decimal)"
"ha3_2","woman's height in centimeters (1 decimal)"
"ha3_3","woman's height in centimeters (1 decimal)"
"ha3_4","woman's height in centimeters (1 decimal)"
"ha3_5","woman's height in centimeters (1 decimal)"
"ha3_6","woman's height in centimeters (1 decimal)"
"ha3_7","woman's height in centimeters (1 decimal)"
"ha3_8","woman's height in centimeters (1 decimal)"
"ha3_9","woman's height in centimeters (1 decimal)"
"ha13_1","result of measurement - height/weight"
"ha13_2","result of measurement - height/weight"
"ha13_3","result of measurement - height/weight"
"ha13_4","result of measurement - height/weight"
"ha13_5","result of measurement - height/weight"
"ha13_6","result of measurement - height/weight"
"ha13_7","result of measurement - height/weight"
"ha13_8","result of measurement - height/weight"
"ha13_9","result of measurement - height/weight"
"ha17_1","date measured (day)"
"ha17_2","date measured (day)"
"ha17_3","date measured (day)"
"ha17_4","date measured (day)"
"ha17_5","date measured (day)"
"ha17_6","date measured (day)"
"ha17_7","date measured (day)"
"ha17_8","date measured (day)"
"ha17_9","date measured (day)"
"ha18_1","date measured (month)"
"ha18_2","date measured (month)"
"ha18_3","date measured (month)"
"ha18_4","date measured (month)"
"ha18_5","date measured (month)"
"ha18_6","date measured (month)"
"ha18_7","date measured (month)"
"ha18_8","date measured (month)"
"ha18_9","date measured (month)"
"ha19_1","date measured (year)"
"ha19_2","date measured (year)"
"ha19_3","date measured (year)"
"ha19_4","date measured (year)"
"ha19_5","date measured (year)"
"ha19_6","date measured (year)"
"ha19_7","date measured (year)"
"ha19_8","date measured (year)"
"ha19_9","date measured (year)"
"ha21_1","fieldworker measurer code for anthropometry"
"ha21_2","fieldworker measurer code for anthropometry"
"ha21_3","fieldworker measurer code for anthropometry"
"ha21_4","fieldworker measurer code for anthropometry"
"ha21_5","fieldworker measurer code for anthropometry"
"ha21_6","fieldworker measurer code for anthropometry"
"ha21_7","fieldworker measurer code for anthropometry"
"ha21_8","fieldworker measurer code for anthropometry"
"ha21_9","fieldworker measurer code for anthropometry"
"ha21a_1","fieldworker assistant measurer code for anthropometry"
"ha21a_2","fieldworker assistant measurer code for anthropometry"
"ha21a_3","fieldworker assistant measurer code for anthropometry"
"ha21a_4","fieldworker assistant measurer code for anthropometry"
"ha21a_5","fieldworker assistant measurer code for anthropometry"
"ha21a_6","fieldworker assistant measurer code for anthropometry"
"ha21a_7","fieldworker assistant measurer code for anthropometry"
"ha21a_8","fieldworker assistant measurer code for anthropometry"
"ha21a_9","fieldworker assistant measurer code for anthropometry"
"ha21b_1","fieldworker measurer code for hemoglobin"
"ha21b_2","fieldworker measurer code for hemoglobin"
"ha21b_3","fieldworker measurer code for hemoglobin"
"ha21b_4","fieldworker measurer code for hemoglobin"
"ha21b_5","fieldworker measurer code for hemoglobin"
"ha21b_6","fieldworker measurer code for hemoglobin"
"ha21b_7","fieldworker measurer code for hemoglobin"
"ha21b_8","fieldworker measurer code for hemoglobin"
"ha21b_9","fieldworker measurer code for hemoglobin"
"ha22_1","was woman wearing only lightweight clothing"
"ha22_2","was woman wearing only lightweight clothing"
"ha22_3","was woman wearing only lightweight clothing"
"ha22_4","was woman wearing only lightweight clothing"
"ha22_5","was woman wearing only lightweight clothing"
"ha22_6","was woman wearing only lightweight clothing"
"ha22_7","was woman wearing only lightweight clothing"
"ha22_8","was woman wearing only lightweight clothing"
"ha22_9","was woman wearing only lightweight clothing"
"ha24_1","measurement interfered with braided or ornament"
"ha24_2","measurement interfered with braided or ornament"
"ha24_3","measurement interfered with braided or ornament"
"ha24_4","measurement interfered with braided or ornament"
"ha24_5","measurement interfered with braided or ornament"
"ha24_6","measurement interfered with braided or ornament"
"ha24_7","measurement interfered with braided or ornament"
"ha24_8","measurement interfered with braided or ornament"
"ha24_9","measurement interfered with braided or ornament"
"ha32_1","date of birth (cmc)"
"ha32_2","date of birth (cmc)"
"ha32_3","date of birth (cmc)"
"ha32_4","date of birth (cmc)"
"ha32_5","date of birth (cmc)"
"ha32_6","date of birth (cmc)"
"ha32_7","date of birth (cmc)"
"ha32_8","date of birth (cmc)"
"ha32_9","date of birth (cmc)"
"ha33_1","completeness of ha32 information"
"ha33_2","completeness of ha32 information"
"ha33_3","completeness of ha32 information"
"ha33_4","completeness of ha32 information"
"ha33_5","completeness of ha32 information"
"ha33_6","completeness of ha32 information"
"ha33_7","completeness of ha32 information"
"ha33_8","completeness of ha32 information"
"ha33_9","completeness of ha32 information"
"ha35_1","smoking (cigarettes in last 24 hours)"
"ha35_2","smoking (cigarettes in last 24 hours)"
"ha35_3","smoking (cigarettes in last 24 hours)"
"ha35_4","smoking (cigarettes in last 24 hours)"
"ha35_5","smoking (cigarettes in last 24 hours)"
"ha35_6","smoking (cigarettes in last 24 hours)"
"ha35_7","smoking (cigarettes in last 24 hours)"
"ha35_8","smoking (cigarettes in last 24 hours)"
"ha35_9","smoking (cigarettes in last 24 hours)"
"ha40_1","body mass index"
"ha40_2","body mass index"
"ha40_3","body mass index"
"ha40_4","body mass index"
"ha40_5","body mass index"
"ha40_6","body mass index"
"ha40_7","body mass index"
"ha40_8","body mass index"
"ha40_9","body mass index"
"ha50_1","under age 18"
"ha50_2","under age 18"
"ha50_3","under age 18"
"ha50_4","under age 18"
"ha50_5","under age 18"
"ha50_6","under age 18"
"ha50_7","under age 18"
"ha50_8","under age 18"
"ha50_9","under age 18"
"ha51_1","line number of parent/caretaker"
"ha51_2","line number of parent/caretaker"
"ha51_3","line number of parent/caretaker"
"ha51_4","line number of parent/caretaker"
"ha51_5","line number of parent/caretaker"
"ha51_6","line number of parent/caretaker"
"ha51_7","line number of parent/caretaker"
"ha51_8","line number of parent/caretaker"
"ha51_9","line number of parent/caretaker"
"ha52_1","read consent statement - hemoglobin"
"ha52_2","read consent statement - hemoglobin"
"ha52_3","read consent statement - hemoglobin"
"ha52_4","read consent statement - hemoglobin"
"ha52_5","read consent statement - hemoglobin"
"ha52_6","read consent statement - hemoglobin"
"ha52_7","read consent statement - hemoglobin"
"ha52_8","read consent statement - hemoglobin"
"ha52_9","read consent statement - hemoglobin"
"ha53_1","hemoglobin level (g/dl - 1 decimal)"
"ha53_2","hemoglobin level (g/dl - 1 decimal)"
"ha53_3","hemoglobin level (g/dl - 1 decimal)"
"ha53_4","hemoglobin level (g/dl - 1 decimal)"
"ha53_5","hemoglobin level (g/dl - 1 decimal)"
"ha53_6","hemoglobin level (g/dl - 1 decimal)"
"ha53_7","hemoglobin level (g/dl - 1 decimal)"
"ha53_8","hemoglobin level (g/dl - 1 decimal)"
"ha53_9","hemoglobin level (g/dl - 1 decimal)"
"ha54_1","currently pregnant"
"ha54_2","currently pregnant"
"ha54_3","currently pregnant"
"ha54_4","currently pregnant"
"ha54_5","currently pregnant"
"ha54_6","currently pregnant"
"ha54_7","currently pregnant"
"ha54_8","currently pregnant"
"ha54_9","currently pregnant"
"ha55_1","result of measurement - hemoglobin"
"ha55_2","result of measurement - hemoglobin"
"ha55_3","result of measurement - hemoglobin"
"ha55_4","result of measurement - hemoglobin"
"ha55_5","result of measurement - hemoglobin"
"ha55_6","result of measurement - hemoglobin"
"ha55_7","result of measurement - hemoglobin"
"ha55_8","result of measurement - hemoglobin"
"ha55_9","result of measurement - hemoglobin"
"ha56_1","hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)"
"ha56_2","hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)"
"ha56_3","hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)"
"ha56_4","hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)"
"ha56_5","hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)"
"ha56_6","hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)"
"ha56_7","hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)"
"ha56_8","hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)"
"ha56_9","hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)"
"ha57_1","anemia level"
"ha57_2","anemia level"
"ha57_3","anemia level"
"ha57_4","anemia level"
"ha57_5","anemia level"
"ha57_6","anemia level"
"ha57_7","anemia level"
"ha57_8","anemia level"
"ha57_9","anemia level"
"ha58_1","na - agrees to referral - anemia"
"ha58_2","na - agrees to referral - anemia"
"ha58_3","na - agrees to referral - anemia"
"ha58_4","na - agrees to referral - anemia"
"ha58_5","na - agrees to referral - anemia"
"ha58_6","na - agrees to referral - anemia"
"ha58_7","na - agrees to referral - anemia"
"ha58_8","na - agrees to referral - anemia"
"ha58_9","na - agrees to referral - anemia"
"ha60_1","marital status"
"ha60_2","marital status"
"ha60_3","marital status"
"ha60_4","marital status"
"ha60_5","marital status"
"ha60_6","marital status"
"ha60_7","marital status"
"ha60_8","marital status"
"ha60_9","marital status"
"ha61_1","na - read consent statement - hiv"
"ha61_2","na - read consent statement - hiv"
"ha61_3","na - read consent statement - hiv"
"ha61_4","na - read consent statement - hiv"
"ha61_5","na - read consent statement - hiv"
"ha61_6","na - read consent statement - hiv"
"ha61_7","na - read consent statement - hiv"
"ha61_8","na - read consent statement - hiv"
"ha61_9","na - read consent statement - hiv"
"ha62_1","bar code for hiv blood sample"
"ha62_2","bar code for hiv blood sample"
"ha62_3","bar code for hiv blood sample"
"ha62_4","bar code for hiv blood sample"
"ha62_5","bar code for hiv blood sample"
"ha62_6","bar code for hiv blood sample"
"ha62_7","bar code for hiv blood sample"
"ha62_8","bar code for hiv blood sample"
"ha62_9","bar code for hiv blood sample"
"ha63_1","na - result of measurement - hiv"
"ha63_2","na - result of measurement - hiv"
"ha63_3","na - result of measurement - hiv"
"ha63_4","na - result of measurement - hiv"
"ha63_5","na - result of measurement - hiv"
"ha63_6","na - result of measurement - hiv"
"ha63_7","na - result of measurement - hiv"
"ha63_8","na - result of measurement - hiv"
"ha63_9","na - result of measurement - hiv"
"ha64_1","na - consent for additional tests"
"ha64_2","na - consent for additional tests"
"ha64_3","na - consent for additional tests"
"ha64_4","na - consent for additional tests"
"ha64_5","na - consent for additional tests"
"ha64_6","na - consent for additional tests"
"ha64_7","na - consent for additional tests"
"ha64_8","na - consent for additional tests"
"ha64_9","na - consent for additional tests"
"ha65_1","result of woman's individual interview"
"ha65_2","result of woman's individual interview"
"ha65_3","result of woman's individual interview"
"ha65_4","result of woman's individual interview"
"ha65_5","result of woman's individual interview"
"ha65_6","result of woman's individual interview"
"ha65_7","result of woman's individual interview"
"ha65_8","result of woman's individual interview"
"ha65_9","result of woman's individual interview"
"ha66_1","woman's highest educational level"
"ha66_2","woman's highest educational level"
"ha66_3","woman's highest educational level"
"ha66_4","woman's highest educational level"
"ha66_5","woman's highest educational level"
"ha66_6","woman's highest educational level"
"ha66_7","woman's highest educational level"
"ha66_8","woman's highest educational level"
"ha66_9","woman's highest educational level"
"ha67_1","woman's highest year of education"
"ha67_2","woman's highest year of education"
"ha67_3","woman's highest year of education"
"ha67_4","woman's highest year of education"
"ha67_5","woman's highest year of education"
"ha67_6","woman's highest year of education"
"ha67_7","woman's highest year of education"
"ha67_8","woman's highest year of education"
"ha67_9","woman's highest year of education"
"ha68_1","highest educational level (cs for preliminary & final report)"
"ha68_2","highest educational level (cs for preliminary & final report)"
"ha68_3","highest educational level (cs for preliminary & final report)"
"ha68_4","highest educational level (cs for preliminary & final report)"
"ha68_5","highest educational level (cs for preliminary & final report)"
"ha68_6","highest educational level (cs for preliminary & final report)"
"ha68_7","highest educational level (cs for preliminary & final report)"
"ha68_8","highest educational level (cs for preliminary & final report)"
"ha68_9","highest educational level (cs for preliminary & final report)"
"ha69_1","na - hiv weight (6 decimals)"
"ha69_2","na - hiv weight (6 decimals)"
"ha69_3","na - hiv weight (6 decimals)"
"ha69_4","na - hiv weight (6 decimals)"
"ha69_5","na - hiv weight (6 decimals)"
"ha69_6","na - hiv weight (6 decimals)"
"ha69_7","na - hiv weight (6 decimals)"
"ha69_8","na - hiv weight (6 decimals)"
"ha69_9","na - hiv weight (6 decimals)"
"ha70a_1","na - interviewer that took blood for hiv testing"
